ПОДРОБНЫЙ АНАЛИЗ ЗИГЗАГОВ
==================================================
Дата создания: 2025-08-06 14:50:54
Файл данных: processed_data/ml_data.csv
Колонка зигзага: zigzag (5.0%)

ОБЩАЯ СТАТИСТИКА
------------------------------
Всего записей: 266,184
Точек зигзага: 1,532
Анализируемых пар: 1,531

СТАТИСТИКА РАССТОЯНИЙ
------------------------------
Процентное изменение (%):
  Среднее: 10.0767
  Минимальное: 5.0073
  Максимальное: 65.9966
  Медиана: 8.5456
  Стд. отклонение: 5.3095

Изменение цены ($):
  Среднее: 2713.0940
  Минимальное: 167.6800
  Максимальное: 33515.6400
  Медиана: 1748.9900
  Стд. отклонение: 2920.2910

Расстояние в свечах:
  Среднее: 173.7348
  Минимальное: 1.0000
  Максимальное: 4038.0000
  Медиана: 65.0000
  Стд. отклонение: 307.9331

ДЕТАЛЬНЫЙ СПИСОК ВСЕХ РАССТОЯНИЙ
----------------------------------------
№    Тип1  Тип2  Процент%   Цена$        Свечи   
154  MIN   MAX   10.511     633.00       2       
155  MAX   MIN   9.842      654.99       9       
156  MIN   MAX   16.000     959.99       8       
157  MAX   MIN   9.932      691.25       6       
158  MIN   MAX   17.090     1071.35      11      
159  MAX   MIN   6.936      509.10       2       
160  MIN   MAX   9.237      631.00       3       
161  MAX   MIN   9.126      681.00       10      
162  MIN   MAX   16.178     1097.00      15      
163  MAX   MIN   5.742      452.33       4       
164  MIN   MAX   5.502      408.55       4       
165  MAX   MIN   8.734      684.21       18      
166  MIN   MAX   18.545     1325.99      37      
167  MAX   MIN   7.185      609.00       13      
168  MIN   MAX   6.762      532.00       6       
169  MAX   MIN   10.333     867.89       22      
170  MIN   MAX   20.378     1534.67      222     
171  MAX   MIN   10.432     945.78       39      
172  MIN   MAX   5.567      452.00       26      
173  MAX   MIN   9.863      845.47       35      
174  MIN   MAX   10.022     774.32       33      
175  MAX   MIN   5.715      485.85       30      
176  MIN   MAX   12.152     974.00       94      
177  MAX   MIN   7.098      638.00       43      
178  MIN   MAX   18.850     1574.17      189     
179  MAX   MIN   5.578      553.61       4       
180  MIN   MAX   10.156     951.81       62      
181  MAX   MIN   6.368      657.37       25      
182  MIN   MAX   16.636     1608.00      170     
183  MAX   MIN   10.591     1194.00      29      
184  MIN   MAX   7.887      794.99       39      
185  MAX   MIN   5.560      604.66       18      
186  MIN   MAX   14.758     1515.68      185     
187  MAX   MIN   9.893      1166.01      23      
188  MIN   MAX   5.322      565.19       23      
189  MAX   MIN   8.808      985.19       43      
190  MIN   MAX   7.191      733.44       40      
191  MAX   MIN   12.469     1363.25      74      
192  MIN   MAX   9.036      864.81       54      
193  MAX   MIN   5.532      577.25       30      
194  MIN   MAX   6.484      639.22       24      
195  MAX   MIN   10.908     1144.97      67      
196  MIN   MAX   5.293      495.00       40      
197  MAX   MIN   5.811      572.20       47      
198  MIN   MAX   19.658     1823.20      240     
199  MAX   MIN   7.731      858.00       70      
200  MIN   MAX   14.355     1470.00      465     
201  MAX   MIN   19.818     2320.69      180     
202  MIN   MAX   7.974      748.73       20      
203  MAX   MIN   6.589      668.04       22      
204  MIN   MAX   6.642      629.00       23      
205  MAX   MIN   17.526     1770.00      82      
206  MIN   MAX   6.441      536.50       4       
207  MAX   MIN   5.386      477.50       11      
208  MIN   MAX   9.265      777.18       21      
209  MAX   MIN   5.839      535.18       6       
210  MIN   MAX   9.965      860.00       54      
211  MAX   MIN   10.959     1040.00      75      
212  MIN   MAX   17.028     1438.88      134     
213  MAX   MIN   11.213     1108.88      39      
214  MIN   MAX   7.904      694.00       40      
215  MAX   MIN   6.871      651.00       27      
216  MIN   MAX   5.789      510.78       48      
217  MAX   MIN   15.358     1433.50      84      
218  MIN   MAX   5.122      404.62       2       
219  MAX   MIN   7.886      654.90       31      
220  MIN   MAX   10.196     780.00       31      
221  MAX   MIN   5.989      504.85       7       
222  MIN   MAX   5.527      438.06       26      
223  MAX   MIN   5.539      463.21       15      
224  MIN   MAX   9.008      711.64       58      
225  MAX   MIN   14.976     1289.64      185     
226  MIN   MAX   18.891     1383.23      95      
227  MAX   MIN   5.451      474.53       12      
228  MIN   MAX   11.497     946.31       184     
229  MAX   MIN   9.894      908.01       184     
230  MIN   MAX   8.840      730.95       102     
231  MAX   MIN   12.988     1168.95      220     
232  MIN   MAX   5.587      437.50       6       
233  MAX   MIN   6.513      538.50       22      
234  MIN   MAX   5.436      420.17       42      
235  MAX   MIN   14.835     1209.06      218     
