ПОДРОБНЫЙ АНАЛИЗ ЗИГЗАГОВ
==================================================
Дата создания: 2025-08-06 14:50:54
Файл данных: processed_data/ml_data.csv
Колонка зигзага: zigzag (5.0%)

ОБЩАЯ СТАТИСТИКА
------------------------------
Всего записей: 266,184
Точек зигзага: 1,532
Анализируемых пар: 1,531

СТАТИСТИКА РАССТОЯНИЙ
------------------------------
Процентное изменение (%):
  Среднее: 10.0767
  Минимальное: 5.0073
  Максимальное: 65.9966
  Медиана: 8.5456
  Стд. отклонение: 5.3095

Изменение цены ($):
  Среднее: 2713.0940
  Минимальное: 167.6800
  Максимальное: 33515.6400
  Медиана: 1748.9900
  Стд. отклонение: 2920.2910

Расстояние в свечах:
  Среднее: 173.7348
  Минимальное: 1.0000
  Максимальное: 4038.0000
  Медиана: 65.0000
  Стд. отклонение: 307.9331

ДЕТАЛЬНЫЙ СПИСОК ВСЕХ РАССТОЯНИЙ
----------------------------------------
№    Тип1  Тип2  Процент%   Цена$        Свечи   
1128 MIN   MAX   25.495     9242.00      455     
1129 MAX   MIN   6.212      2826.00      45      
1130 MIN   MAX   7.395      3155.00      191     
1131 MAX   MIN   9.320      4270.44      321     
1132 MIN   MAX   7.703      3200.84      185     
1133 MAX   MIN   16.844     7537.77      533     
1134 MIN   MAX   5.561      2069.44      8       
1135 MAX   MIN   7.466      2933.07      49      
1136 MIN   MAX   7.978      2899.93      136     
1137 MAX   MIN   12.555     4927.65      66      
1138 MIN   MAX   16.085     5520.72      57      
1139 MAX   MIN   5.256      2094.06      11      
1140 MIN   MAX   6.886      2599.51      103     
1141 MAX   MIN   8.299      3348.45      179     
1142 MIN   MAX   22.703     8400.00      263     
1143 MAX   MIN   17.229     7821.97      433     
1144 MIN   MAX   5.241      1969.54      51      
1145 MAX   MIN   6.050      2392.57      16      
1146 MIN   MAX   14.639     5439.06      175     
1147 MAX   MIN   10.261     4370.46      140     
1148 MIN   MAX   5.265      2012.66      39      
1149 MAX   MIN   6.664      2681.26      238     
1150 MIN   MAX   11.085     4163.00      201     
1151 MAX   MIN   6.926      2889.52      5       
1152 MIN   MAX   24.110     9361.36      1216    
1153 MAX   MIN   8.279      3989.84      317     
1154 MIN   MAX   7.340      3244.11      270     
1155 MAX   MIN   17.376     8244.11      767     
1156 MIN   MAX   6.024      2361.31      180     
1157 MAX   MIN   7.278      3024.80      424     
1158 MIN   MAX   11.520     4439.49      322     
1159 MAX   MIN   11.113     4776.00      358     
1160 MIN   MAX   6.799      2597.31      101     
1161 MAX   MIN   7.586      3095.05      60      
1162 MIN   MAX   7.083      2670.37      171     
1163 MAX   MIN   7.397      2986.25      222     
1164 MIN   MAX   7.054      2637.39      358     
1165 MAX   MIN   24.210     9689.70      478     
1166 MIN   MAX   5.162      1565.92      7       
1167 MAX   MIN   6.801      2169.59      17      
1168 MIN   MAX   9.850      2928.59      24      
1169 MAX   MIN   7.689      2511.21      62      
1170 MIN   MAX   5.775      1741.07      28      
1171 MAX   MIN   5.296      1688.85      10      
1172 MIN   MAX   6.499      1962.59      10      
1173 MAX   MIN   9.710      3123.05      11      
1174 MIN   MAX   10.195     2960.46      8       
1175 MAX   MIN   13.172     4215.00      26      
1176 MIN   MAX   8.846      2458.00      13      
1177 MAX   MIN   11.715     3543.00      19      
1178 MIN   MAX   12.236     3267.03      46      
1179 MAX   MIN   6.561      1966.03      19      
1180 MIN   MAX   11.008     3082.37      31      
1181 MAX   MIN   7.893      2453.37      139     
1182 MIN   MAX   9.885      2830.00      120     
1183 MAX   MIN   7.543      2372.96      75      
1184 MIN   MAX   5.849      1701.33      63      
1185 MAX   MIN   6.931      2133.90      157     
1186 MIN   MAX   7.408      2122.86      103     
1187 MAX   MIN   6.652      2047.33      61      
1188 MIN   MAX   6.754      1940.51      250     
1189 MAX   MIN   6.526      2001.51      123     
1190 MIN   MAX   5.423      1554.74      56      
1191 MAX   MIN   7.293      2204.18      133     
1192 MIN   MAX   6.310      1768.13      12      
1193 MAX   MIN   5.052      1504.79      104     
1194 MIN   MAX   14.553     4116.10      377     
1195 MAX   MIN   9.620      3116.64      281     
1196 MIN   MAX   8.480      2483.28      287     
1197 MAX   MIN   8.017      2546.68      48      
1198 MIN   MAX   8.113      2370.64      71      
1199 MAX   MIN   14.877     4699.60      456     
1200 MIN   MAX   5.422      1457.89      5       
1201 MAX   MIN   12.163     3447.89      47      
1202 MIN   MAX   5.451      1357.31      4       
1203 MAX   MIN   13.929     3657.31      42      
1204 MIN   MAX   7.100      1604.55      7       
1205 MAX   MIN   13.876     3358.55      38      
1206 MIN   MAX   12.074     2516.88      13      
1207 MAX   MIN   13.916     3251.26      113     
1208 MIN   MAX   8.390      1687.33      17      
1209 MAX   MIN   7.106      1548.95      17      
1210 MIN   MAX   13.559     2745.73      29      
1211 MAX   MIN   12.018     2763.73      88      
1212 MIN   MAX   5.602      1133.43      37      
1213 MAX   MIN   17.521     3743.43      144     
1214 MIN   MAX   10.619     1871.23      8       
1215 MAX   MIN   7.863      1532.82      27      
1216 MIN   MAX   12.191     2189.59      23      
1217 MAX   MIN   5.058      1019.16      11      
1218 MIN   MAX   8.808      1685.11      34      
1219 MAX   MIN   5.664      1178.92      14      
1220 MIN   MAX   7.399      1452.97      53      
1221 MAX   MIN   5.960      1257.05      12      
1222 MIN   MAX   9.530      1890.05      83      
1223 MAX   MIN   8.988      1952.49      119     
1224 MIN   MAX   10.710     2117.49      350     
1225 MAX   MIN   14.903     3262.00      419     
1226 MIN   MAX   12.307     2292.35      15      
1227 MAX   MIN   10.218     2137.35      209     
1228 MIN   MAX   9.038      1697.40      176     
1229 MAX   MIN   5.733      1174.00      49      
1230 MIN   MAX   16.696     3222.97      241     
1231 MAX   MIN   16.053     3616.43      525     
1232 MIN   MAX   20.447     3866.69      493     
1233 MAX   MIN   6.101      1389.63      16      
1234 MIN   MAX   7.358      1573.72      17      
1235 MAX   MIN   6.019      1382.18      27      
1236 MIN   MAX   12.499     2697.20      131     
1237 MAX   MIN   7.972      1935.28      92      
1238 MIN   MAX   6.334      1415.03      93      
1239 MAX   MIN   12.839     3049.99      391     
1240 MIN   MAX   19.132     3961.50      374     
1241 MAX   MIN   9.194      2268.00      500     
1242 MIN   MAX   8.237      1845.00      360     
1243 MAX   MIN   6.518      1580.31      146     
1244 MIN   MAX   9.944      2253.85      144     
1245 MAX   MIN   5.360      1335.54      92      
1246 MIN   MAX   6.905      1628.32      255     
1247 MAX   MIN   17.649     4449.42      551     
1248 MIN   MAX   5.482      1138.10      364     
1249 MAX   MIN   10.868     2380.00      415     
1250 MIN   MAX   5.411      1056.25      127     
1251 MAX   MIN   10.038     2065.48      747     
1252 MIN   MAX   23.166     4288.23      617     
1253 MAX   MIN   20.029     4566.44      552     
1254 MIN   MAX   9.453      1723.44      238     
1255 MAX   MIN   5.562      1109.93      1       
1256 MIN   MAX   5.017      945.60       2       
1257 MAX   MIN   8.416      1665.69      14      
1258 MIN   MAX   7.857      1424.19      99      
1259 MAX   MIN   5.211      1018.75      61      
1260 MIN   MAX   10.007     1854.44      376     
1261 MAX   MIN   9.392      1914.58      57      
1262 MIN   MAX   9.278      1713.72      242     
1263 MAX   MIN   6.265      1264.65      225     
1264 MIN   MAX   8.217      1554.65      182     
1265 MAX   MIN   11.160     2285.00      831     
1266 MIN   MAX   9.686      1761.87      53      
1267 MAX   MIN   6.525      1301.87      713     
1268 MIN   MAX   15.178     2830.65      1405    
1269 MAX   MIN   10.482     2251.65      336     
1270 MIN   MAX   7.654      1471.88      5       
1271 MAX   MIN   17.072     3534.05      12      
1272 MIN   MAX   9.106      1563.17      10      
1273 MAX   MIN   16.775     3142.00      100     
1274 MIN   MAX   16.750     2611.00      87      
1275 MAX   MIN   10.096     1837.40      71      
1276 MIN   MAX   5.907      966.40       1       
1277 MAX   MIN   8.730      1512.79      252     
1278 MIN   MAX   8.693      1374.79      30      
1279 MAX   MIN   5.870      1009.00      26      
1280 MIN   MAX   5.894      953.69       71      
1281 MAX   MIN   9.680      1658.69      609     
1282 MIN   MAX   18.816     2911.95      2196    
1283 MAX   MIN   11.593     2131.65      495     
1284 MIN   MAX   33.179     5393.70      2847    
1285 MAX   MIN   5.741      1242.85      10      
1286 MIN   MAX   16.708     3409.58      693     
1287 MAX   MIN   5.382      1281.85      110     
1288 MIN   MAX   6.326      1425.66      265     
1289 MAX   MIN   6.096      1460.54      107     
1290 MIN   MAX   7.800      1755.00      201     
1291 MAX   MIN   11.973     2903.93      1124    
1292 MIN   MAX   18.261     3898.93      281     
1293 MAX   MIN   7.567      1910.63      32      
1294 MIN   MAX   7.938      1852.63      257     
1295 MAX   MIN   5.363      1351.17      36      
1296 MIN   MAX   5.911      1409.17      124     
1297 MAX   MIN   10.012     2528.00      434     
1298 MIN   MAX   5.625      1278.00      336     
1299 MAX   MIN   18.545     4450.91      872     
1300 MIN   MAX   34.977     6837.78      393     
1301 MAX   MIN   9.135      2410.45      32      
1302 MIN   MAX   5.091      1220.55      62      
1303 MAX   MIN   5.159      1300.02      18      
1304 MIN   MAX   20.802     4971.10      676     
1305 MAX   MIN   7.850      2266.25      8       
1306 MIN   MAX   8.075      2148.20      77      
1307 MAX   MIN   7.798      2241.86      382     
1308 MIN   MAX   10.097     2676.54      238     
1309 MAX   MIN   6.800      1984.44      458     
1310 MIN   MAX   13.970     3799.76      999     
1311 MAX   MIN   13.088     4057.18      1001    
1312 MIN   MAX   11.481     3093.18      176     
1313 MAX   MIN   9.325      2801.00      28      
1314 MIN   MAX   10.040     2734.39      366     
1315 MAX   MIN   7.683      2302.44      117     
1316 MIN   MAX   7.782      2153.05      399     
1317 MAX   MIN   13.442     4008.54      651     
1318 MIN   MAX   7.176      1852.13      280     
1319 MAX   MIN   6.477      1791.70      896     
1320 MIN   MAX   9.954      2575.25      380     
1321 MAX   MIN   10.884     3096.12      815     
1322 MIN   MAX   8.050      2040.75      51      
1323 MAX   MIN   9.462      2591.77      810     
1324 MIN   MAX   26.742     6631.94      787     
1325 MAX   MIN   6.146      1931.94      663     
1326 MIN   MAX   6.780      2000.00      557     
1327 MAX   MIN   5.711      1798.98      60      
1328 MIN   MAX   7.081      2103.18      654     
1329 MAX   MIN   10.120     3218.50      1808    
1330 MIN   MAX   5.801      1658.30      695     
1331 MAX   MIN   16.790     5078.00      866     
1332 MIN   MAX   7.884      1984.00      4       
1333 MAX   MIN   6.814      1850.00      474     
1334 MIN   MAX   11.237     2842.85      652     
1335 MAX   MIN   11.519     3241.85      1263    
1336 MIN   MAX   10.371     2582.57      753     
1337 MAX   MIN   5.433      1493.11      560     
1338 MIN   MAX   9.963      2589.54      679     
1339 MAX   MIN   7.143      2041.34      879     
1340 MIN   MAX   13.043     3461.34      463     
1341 MAX   MIN   7.567      2270.00      1       
1342 MIN   MAX   25.286     7011.91      707     
1343 MAX   MIN   6.453      2241.91      2       
1344 MIN   MAX   8.554      2780.00      13      
1345 MAX   MIN   5.896      2080.00      53      
1346 MIN   MAX   8.389      2784.99      813     
1347 MAX   MIN   5.183      1864.99      126     
1348 MIN   MAX   11.290     3852.24      595     
1349 MAX   MIN   6.247      2372.24      6       
1350 MIN   MAX   5.410      1926.00      121     
1351 MAX   MIN   7.264      2726.00      368     
1352 MIN   MAX   9.138      3180.00      116     
1353 MAX   MIN   6.530      2480.00      79      
1354 MIN   MAX   6.338      2250.00      377     
1355 MAX   MIN   5.611      2117.99      121     
1356 MIN   MAX   25.449     9067.99      1621    
1357 MAX   MIN   9.620      4300.00      211     
1358 MIN   MAX   5.322      2150.00      6       
1359 MAX   MIN   5.471      2328.00      64      
1360 MIN   MAX   8.088      3253.20      202     
1361 MAX   MIN   6.745      2932.27      434     
1362 MIN   MAX   9.509      3855.33      368     
1363 MAX   MIN   6.218      2760.66      428     
1364 MIN   MAX   5.164      2149.97      124     
1365 MAX   MIN   5.681      2487.57      183     
1366 MIN   MAX   11.089     4579.63      331     
1367 MAX   MIN   11.181     5129.63      108     
1368 MIN   MAX   9.766      3979.58      137     
1369 MAX   MIN   5.096      2279.58      14      
1370 MIN   MAX   13.008     5522.00      462     
1371 MAX   MIN   7.654      3671.64      63      
1372 MIN   MAX   10.540     4669.12      103     
1373 MAX   MIN   15.253     7469.48      126     
1374 MIN   MAX   5.007      2078.01      381     
1375 MAX   MIN   11.526     5023.01      643     
1376 MIN   MAX   65.997     25445.00     3468    
1377 MAX   MIN   8.281      5300.00      1       
1378 MIN   MAX   8.478      4976.35      53      
1379 MAX   MIN   5.201      3311.65      48      
1380 MIN   MAX   13.786     8322.10      412     
1381 MAX   MIN   5.238      3597.80      13      
1382 MIN   MAX   6.009      3911.00      40      
1383 MAX   MIN   14.486     9995.00      19      
1384 MIN   MAX   18.617     10985.00     271     
1385 MAX   MIN   5.583      3907.34      2       
1386 MIN   MAX   10.468     6917.34      376     
1387 MAX   MIN   5.999      4379.18      13      
1388 MIN   MAX   7.514      5156.18      151     
1389 MAX   MIN   7.078      5222.00      50      
1390 MIN   MAX   5.637      3864.71      20      
1391 MAX   MIN   9.417      6819.71      34      
1392 MIN   MAX   7.698      5050.00      40      
1393 MAX   MIN   8.658      6117.00      145     
1394 MIN   MAX   6.854      4423.00      89      
1395 MAX   MIN   9.492      6545.22      132     
1396 MIN   MAX   5.360      3345.22      11      
1397 MAX   MIN   7.575      4981.00      49      
1398 MIN   MAX   12.284     7465.47      76      
1399 MAX   MIN   8.764      5980.47      180     
1400 MIN   MAX   15.274     9509.54      448     
1401 MAX   MIN   10.139     7276.47      620     
1402 MIN   MAX   12.877     8304.92      526     
1403 MAX   MIN   7.253      5279.99      199     
1404 MIN   MAX   5.610      3787.89      70      
1405 MAX   MIN   14.929     10645.32     243     
1406 MIN   MAX   8.156      4947.52      12      
1407 MAX   MIN   5.295      3474.09      16      
1408 MIN   MAX   7.618      4733.07      121     
1409 MAX   MIN   10.751     7188.91      219     
1410 MIN   MAX   7.438      4438.93      92      
1411 MAX   MIN   7.045      4517.08      46      
1412 MIN   MAX   12.806     7632.34      370     
1413 MAX   MIN   15.885     10679.53     805     
1414 MIN   MAX   15.821     8947.18      480     
1415 MAX   MIN   8.111      5312.88      422     
1416 MIN   MAX   19.592     11791.88     986     
1417 MAX   MIN   7.873      5666.84      271     
1418 MIN   MAX   6.598      4375.40      369     
1419 MAX   MIN   5.684      4017.56      384     
1420 MIN   MAX   7.990      5327.02      657     
1421 MAX   MIN   8.259      5946.02      396     
1422 MIN   MAX   5.977      3948.00      94      
1423 MAX   MIN   16.567     11597.00     1174    
1424 MIN   MAX   9.349      5459.76      663     
1425 MAX   MIN   16.247     10375.83     328     
1426 MIN   MAX   9.328      4989.07      172     
1427 MAX   MIN   7.208      4214.84      103     
1428 MIN   MAX   7.329      3976.57      32      
1429 MAX   MIN   5.901      3436.73      22      
1430 MIN   MAX   8.850      4850.00      280     
1431 MAX   MIN   5.210      3107.53      51      
1432 MIN   MAX   21.103     11932.08     958     
1433 MAX   MIN   7.328      5017.85      341     
1434 MIN   MAX   10.437     6623.29      380     
1435 MAX   MIN   11.099     7777.99      307     
1436 MIN   MAX   5.390      3357.78      18      
1437 MAX   MIN   20.347     13359.61     299     
1438 MIN   MAX   5.533      2893.83      2       
1439 MAX   MIN   11.222     6194.00      19      
1440 MIN   MAX   8.609      4218.37      8       
1441 MAX   MIN   6.907      3675.54      18      
1442 MIN   MAX   12.226     6057.17      14      
1443 MAX   MIN   5.477      3045.00      12      
1444 MIN   MAX   9.858      5181.05      157     
1445 MAX   MIN   5.503      3177.43      47      
1446 MIN   MAX   15.005     8186.52      99      
1447 MAX   MIN   8.133      5102.93      321     
1448 MIN   MAX   7.213      4157.79      213     
1449 MAX   MIN   9.258      5721.46      129     
1450 MIN   MAX   15.909     8921.46      970     
1451 MAX   MIN   10.985     7140.00      260     
1452 MIN   MAX   5.716      3306.99      93      
1453 MAX   MIN   9.091      5560.99      518     
1454 MIN   MAX   5.239      2913.00      63      
1455 MAX   MIN   10.200     5969.00      209     
1456 MIN   MAX   15.366     8075.00      679     
1457 MAX   MIN   5.166      3131.70      265     
1458 MIN   MAX   15.662     9004.70      1046    
1459 MAX   MIN   10.030     6669.89      571     
1460 MIN   MAX   7.772      4650.08      388     
1461 MAX   MIN   8.580      5532.19      303     
1462 MIN   MAX   17.938     10573.52     986     
1463 MAX   MIN   6.127      4259.52      263     
1464 MIN   MAX   12.810     8360.12      579     
1465 MAX   MIN   9.216      6785.12      587     
1466 MIN   MAX   34.570     23105.00     710     
1467 MAX   MIN   5.412      4868.00      26      
1468 MIN   MAX   9.631      8193.64      106     
1469 MAX   MIN   7.074      6597.43      125     
1470 MIN   MAX   14.907     12919.80     752     
1471 MAX   MIN   8.833      8796.91      388     
1472 MIN   MAX   8.623      7828.89      267     
1473 MAX   MIN   5.112      5041.82      381     
1474 MIN   MAX   11.231     10509.83     146     
1475 MAX   MIN   13.054     13588.00     77      
1476 MIN   MAX   12.596     11398.99     89      
1477 MAX   MIN   7.605      7748.94      290     
1478 MIN   MAX   15.085     14202.95     743     
1479 MAX   MIN   14.878     16120.46     278     
1480 MIN   MAX   7.924      7308.07      77      
1481 MAX   MIN   7.053      7020.61      243     
1482 MIN   MAX   8.046      7443.70      207     
1483 MAX   MIN   8.436      8433.25      445     
1484 MIN   MAX   12.230     11193.93     709     
1485 MAX   MIN   11.215     11520.71     271     
1486 MIN   MAX   5.193      4736.33      305     
1487 MAX   MIN   6.966      6683.31      56      
1488 MIN   MAX   19.232     17165.74     601     
1489 MAX   MIN   6.458      6872.43      15      
1490 MIN   MAX   10.083     10038.00     25      
1491 MAX   MIN   8.641      9468.96      75      
1492 MIN   MAX   7.113      7121.77      68      
1493 MAX   MIN   5.575      5978.53      160     
1494 MIN   MAX   5.785      5857.72      127     
1495 MAX   MIN   8.721      9342.23      244     
1496 MIN   MAX   8.877      8679.67      319     
1497 MAX   MIN   14.303     15226.44     332     
1498 MIN   MAX   12.352     11269.01     80      
1499 MAX   MIN   8.207      8411.78      830     
1500 MIN   MAX   5.035      4737.77      209     
1501 MAX   MIN   5.503      5437.91      389     
1502 MIN   MAX   6.518      6086.91      267     
1503 MAX   MIN   17.310     17218.99     506     
1504 MIN   MAX   5.863      4822.45      59      
1505 MAX   MIN   10.129     8819.94      87      
1506 MIN   MAX   21.393     16741.48     228     
1507 MAX   MIN   14.211     13500.00     182     
1508 MIN   MAX   13.878     11310.64     154     
1509 MAX   MIN   8.774      8143.61      76      
1510 MIN   MAX   7.598      6432.97      56      
1511 MAX   MIN   12.184     11100.00     225     
1512 MIN   MAX   5.154      4123.46      41      
1513 MAX   MIN   8.936      7517.46      62      
1514 MIN   MAX   10.357     7933.85      143     
1515 MAX   MIN   5.441      4599.95      117     
1516 MIN   MAX   11.040     8825.53      1042    
1517 MAX   MIN   8.434      7486.91      618     
1518 MIN   MAX   8.885      7221.48      270     
1519 MAX   MIN   15.810     13992.00     427     
1520 MIN   MAX   9.040      6735.58      29      
1521 MAX   MIN   8.153      6623.58      140     
1522 MIN   MAX   12.018     8968.00      80      
1523 MAX   MIN   6.130      5123.64      75      
1524 MIN   MAX   42.714     33515.64     4038    
1525 MAX   MIN   10.366     11607.74     1357    
1526 MIN   MAX   10.120     10157.91     387     
1527 MAX   MIN   7.116      7865.86      302     
1528 MIN   MAX   6.125      6288.07      372     
1529 MAX   MIN   9.869      10752.38     569     
1530 MIN   MAX   25.477     25018.00     2061    
1531 MAX   MIN   9.169      11298.00     1892    
